0,1,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,6065,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,78435,
33,474,
34,4747,
35,0,
36,0,
37,0,
38,0,
39,3141,
40,30,
41,33,
42,2,
43,0,
44,5658,
45,1986,
46,6136,
47,0,
48,2,
49,11,
50,3,
51,8,
52,6,
53,2,
54,1,
55,4,
56,1,
57,3,
58,69,
59,135,
60,0,
61,0,
62,0,
63,754,
64,0,
65,703,
66,348,
67,293,
68,685,
69,287,
70,426,
71,492,
72,2996,
73,1393,
74,51,
75,79,
76,209,
77,665,
78,488,
79,331,
80,639,
81,203,
82,660,
83,844,
84,1055,
85,192,
86,192,
87,653,
88,2,
89,325,
90,5,
91,0,
92,0,
93,0,
94,0,
95,0,
96,0,
97,25887,
98,4980,
99,6402,
100,15933,
101,39628,
102,6431,
103,8128,
104,19535,
105,19422,
106,319,
107,3930,
108,14384,
109,6729,
110,21337,
111,25813,
112,4909,
113,217,
114,20990,
115,18870,
116,27993,
117,9563,
118,2716,
119,7744,
120,381,
121,8294,
122,259,
123,0,
124,0,
125,0,
126,1,
127,0,
